0.496334,0.466487
0.463333,0.463993
0.454333,0.462945
0.468000,0.468878
0.486667,0.465740
0.482000,0.462152
0.447333,0.455487
0.466667,0.472061
0.463333,0.464986
0.474333,0.474701
0.459333,0.465292
0.444667,0.471516
0.462667,0.455135
0.440000,0.476736
0.469000,0.476792
0.446667,0.460065
0.472333,0.469769
0.436666,0.461957
0.425667,0.452352
0.415333,0.427561
0.480000,0.463599
0.440000,0.440500
0.426333,0.445082
0.413000,0.415022
0.434333,0.447770
0.462333,0.461608
0.470333,0.486638
0.496333,0.486697
0.448333,0.457620
0.458000,0.463098
